,lotSize,age,landValue,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms,fuel,waterfront,newConstruction,PriceCat
1,0.88,17,19400,1092,35,3,0,1,6,oil,No,No,1
2,1,12,8600,1056,35,3,0,1,7,electric,No,No,1
3,0.43,21,5600,1600,39,3,0,1.5,4,electric,No,No,1
4,0.32,1,6200,1576,39,3,0,2.5,7,gas,No,Yes,1
5,0.03,24,5100,2080,39,3,0,2,6,oil,No,No,1
6,0.36,16,5200,1600,39,3,0,1.5,4,electric,No,No,1
7,4,28,5500,2224,39,4,0,3,10,oil,No,No,2
8,1.83,126,6000,1656,39,3,0,1,6,oil,No,No,1
9,3,26,4500,1170,39,4,0,1.5,5,oil,No,No,1
10,0.43,53,2700,2461,39,4,1,2,10,oil,Yes,No,2
11,0.44,56,19400,1544,71,3,1,1.5,7,oil,No,No,1
12,1.24,51,24800,1220,71,2,2,1,4,oil,No,No,1
13,0.46,3,15200,1858,52,3,1,2.5,7,gas,No,No,1
14,0.87,9,41100,2219,64,3,1,2,8,gas,No,No,2
15,1.8,201,25500,1876,52,3,0,2.5,5,oil,No,No,2
16,0.46,1,15200,2026,52,4,1,2.5,6,gas,No,No,1
17,0.91,19,20200,1671,71,4,1,3,8,gas,No,No,1
18,0.46,1,15200,2060,52,4,1,2.5,7,gas,No,No,2
19,0.59,0,17300,1884,52,4,1,2.5,9,gas,No,No,1
20,7.24,43,36600,2022,71,4,2,3,6,gas,No,No,2
21,0.19,0,20700,2394,71,4,1,2.5,7,gas,No,No,2
22,0.46,45,20200,1390,71,3,1,1.5,6,gas,No,No,1
23,0.41,32,27100,1954,71,4,0,2.5,8,gas,No,No,1
24,0.78,54,24500,1554,71,3,1,1.5,5,oil,No,No,1
25,0.89,9,41600,1976,64,3,0,2.5,6,gas,No,No,2
26,1.34,0,44400,2479,71,4,1,2.5,10,gas,No,No,2
27,1,0,17100,2714,71,4,1,2.5,9,gas,No,No,2
28,1,98,15500,797,52,2,0,1,3,oil,No,No,1
29,0.27,54,8900,1500,71,3,0,2.5,7,gas,No,No,1
30,0.71,73,61000,1838,71,4,0,2,8,oil,Yes,No,2
31,0.9,48,19000,1042,71,2,1,2,3,gas,No,No,1
32,0.24,10,8000,1782,52,3,0,2.5,6,gas,No,No,1
33,0.06,16,1600,1480,52,2,1,2.5,5,gas,No,No,1
34,0.55,20,13800,1426,52,3,1,2,6,gas,No,No,1
35,0.34,32,11100,1404,52,3,0,2,5,gas,No,No,1
36,0.19,15,3400,1480,52,3,1,1.5,5,gas,No,No,1
37,0.23,135,8100,1344,52,3,0,1,5,gas,No,No,1
38,0.07,14,1800,1480,52,2,1,2.5,5,gas,No,No,1
39,0.09,15,2400,1480,52,3,1,1.5,7,gas,No,No,1
40,0.25,10,8400,1596,52,3,0,2.5,6,gas,No,No,1
41,0.47,15,27200,1768,52,3,1,2,5,electric,No,No,1
42,0.36,10,12100,1348,52,2,1,2,3,gas,No,No,1
43,0.07,14,1800,1480,52,3,1,1.5,8,gas,No,No,1
44,0.11,225,3900,1483,52,3,0,1,7,gas,No,No,1
45,0.23,25,8300,1576,52,4,1,1.5,5,gas,No,No,1
46,3.16,15,24100,1008,52,2,0,1,7,electric,No,No,1
47,0.08,0,32000,2332,52,4,0,2.5,9,gas,No,Yes,2
48,0.57,30,7500,1064,52,3,1,1,5,oil,No,No,1
49,0.5,12,15300,2428,52,4,1,2.5,11,gas,No,No,2
50,1,16,26600,1310,52,3,1,2,7,electric,No,No,1
51,0.5,0,32000,1662,52,3,0,2,7,gas,No,Yes,2
52,0.55,0,4400,2000,52,4,0,2.5,7,gas,No,Yes,1
53,0.1,14,2600,1480,52,3,1,1.5,6,gas,No,No,1
54,0.5,0,32000,2969,52,4,1,4,10,gas,No,Yes,2
55,0.31,10,10400,1542,52,3,0,2.5,5,gas,No,No,1
56,0.28,18,6300,1527,52,4,0,2,7,oil,No,No,1
57,0.06,0,32000,2195,52,4,0,2.5,8,gas,No,Yes,2
58,0.06,14,1600,1480,52,3,1,1.5,6,gas,No,No,1
59,0.46,53,9200,1452,52,3,0,2,7,oil,No,No,1
60,0.1,0,32000,2360,52,4,0,2.5,10,gas,No,Yes,2
61,2.12,32,19000,1440,52,3,1,1,8,oil,No,No,1
62,0.06,14,1600,1480,52,2,1,2.5,5,electric,No,No,1
63,0.21,125,7300,1879,52,3,0,2.5,6,gas,No,No,1
64,0.06,14,1600,1480,52,3,0,1.5,6,gas,No,No,1
65,0.26,11,8700,1792,52,3,0,2.5,8,gas,No,No,1
66,0.29,2,25000,1386,44,3,0,2.5,5,gas,No,No,1
67,1.29,14,10300,1676,44,2,1,2,3,electric,No,No,1
68,1,0,4000,768,22,4,0,2,9,gas,No,No,1
69,0.88,16,10000,1560,22,3,1,1.5,8,electric,No,No,1
70,0.52,91,5000,1000,22,3,0,1,6,oil,No,No,1
71,0.07,15,18900,1676,51,4,1,1.5,9,electric,No,No,1
72,0.32,11,19400,1656,51,3,0,1.5,6,electric,No,No,1
73,0.92,11,20600,2300,51,3,1,1.5,7,electric,No,No,1
74,0.46,25,18700,1712,51,3,1,1,6,gas,No,No,1
75,0.46,26,18700,1350,51,3,0,1.5,5,gas,No,No,1
76,0.11,15,18900,1676,51,3,1,2.5,6,gas,No,No,1
77,0.4,103,10500,1317,51,3,0,1.5,7,gas,No,No,1
78,0.87,30,8700,1056,51,3,1,2,8,gas,No,No,1
79,0.59,13,19900,912,51,3,0,1,7,gas,No,No,1
80,0.93,18,4500,1232,44,2,0,2,3,electric,No,No,1
81,0.15,68,2000,1380,44,3,1,1,5,gas,No,No,1
82,0.59,10,3100,936,44,3,0,1,6,gas,No,No,1
83,0.33,49,3400,720,44,3,0,1,4,gas,No,No,1
84,0.32,30,6500,1628,44,2,1,1.5,4,oil,No,No,1
85,0.46,41,5000,1144,44,3,0,1.5,6,gas,No,No,1
86,0.48,2,3000,1827,44,3,0,2.5,9,gas,No,No,1
87,2.37,8,3300,1784,44,3,1,2,6,oil,No,No,2
88,0.83,16,3700,1851,44,3,1,2.5,8,gas,No,No,1
89,1,0,3500,2194,44,4,0,2.5,8,gas,No,Yes,2
90,0.21,75,900,920,44,2,0,1,6,oil,No,No,1
91,0.27,36,3800,1280,44,3,0,1,5,gas,No,No,1
92,0.72,43,4600,1232,44,3,1,1,5,electric,No,No,1
93,0.36,45,3600,1406,44,3,0,1.5,6,gas,No,No,1
94,0.52,6,2500,1164,44,3,0,2,5,gas,No,No,1
95,0.19,123,2100,1198,44,3,0,1,5,gas,No,No,1
96,0.38,10,6600,2206,44,4,1,2.5,8,gas,No,No,2
97,0.82,0,5000,1880,44,3,1,2.5,9,gas,No,Yes,1
98,0.69,6,3400,1368,44,3,0,1.5,8,oil,No,No,1
99,0.51,16,6000,1901,44,3,1,2.5,5,gas,No,No,2
100,0.72,11,3200,1547,44,3,0,2,8,gas,No,No,1
101,0.62,12,5400,896,44,3,0,2,5,gas,No,No,1
102,1,45,8000,1008,44,3,0,1,7,gas,No,No,1
103,0.52,75,3900,912,44,2,0,1,4,gas,No,No,1
104,0.82,12,3700,2443,44,3,0,2.5,6,gas,No,No,2
105,0.29,83,3900,900,44,4,0,1,7,gas,No,No,1
106,0.52,0,4400,2098,44,3,0,2,7,gas,No,Yes,1
107,0.64,9,3000,2115,44,4,1,2.5,7,gas,No,No,1
108,0.52,12,4500,1344,44,2,1,2,7,gas,No,No,1
109,1,3,5200,1106,44,3,0,1,8,gas,No,No,1
110,0.69,33,6500,1440,44,3,2,2,6,gas,No,No,1
111,0.13,0,15000,840,51,2,0,1,3,gas,No,Yes,1
112,0.22,10,7300,1170,51,2,0,1,6,gas,No,No,1
113,0.46,15,23400,1664,51,4,0,1,5,oil,No,No,1
114,1,153,27300,3024,51,4,0,1,12,oil,No,No,1
115,1,0,15900,2598,51,4,1,2.5,9,gas,No,No,2
116,0.13,0,15000,840,51,2,0,1.5,7,gas,No,Yes,1
117,1.03,63,41500,1701,41,5,0,1,10,oil,No,No,1
118,1.17,33,41800,1456,41,3,1,1.5,6,oil,No,No,1
119,0.34,44,19000,1224,71,3,0,1,4,oil,No,No,1
120,0.38,48,21300,1411,71,3,1,1,5,gas,No,No,1
121,1.96,29,39700,1608,71,3,1,1.5,5,oil,No,No,1
122,3,178,44500,3020,41,4,0,2.5,12,oil,No,No,1
123,0.33,32,22500,1898,64,3,1,1.5,7,gas,No,No,1
124,0.46,1,36600,2544,64,4,1,2.5,9,gas,No,Yes,2
125,0.29,16,22100,1038,64,2,0,1,7,electric,No,No,1
126,0.35,1,37000,1820,64,3,1,2.5,6,gas,No,Yes,1
127,0.28,21,28400,2202,64,3,1,2,10,electric,No,No,1
128,0.52,53,20300,2387,64,3,0,1,6,oil,No,No,1
129,0.11,16,20700,1368,64,2,1,1.5,3,electric,No,No,1
130,0.14,16,21000,1480,64,2,1,2,5,electric,No,No,1
131,0.14,15,19600,1348,64,2,1,1.5,5,electric,No,No,1
132,0.47,7,25500,1889,64,4,1,2.5,8,gas,No,No,1
133,0.14,16,19600,1343,64,2,1,1.5,6,electric,No,No,1
134,0.51,15,39600,2011,64,3,1,2.5,7,gas,No,No,2
135,0.21,15,28800,1180,64,2,1,1.5,3,gas,No,No,1
136,0.14,1,45200,1983,64,3,1,2.5,5,gas,No,Yes,2
137,0.55,14,72000,2253,64,3,1,2.5,7,gas,No,No,2
138,0.07,12,24500,1604,64,2,0,1.5,4,gas,No,No,1
139,0.49,83,11900,1196,45,3,0,1,6,gas,No,No,1
140,0.07,13,24500,1602,64,2,0,2.5,7,gas,No,No,1
141,0.36,1,37100,1747,64,3,0,2.5,5,gas,No,Yes,1
142,0.5,37,19800,1092,64,3,0,1,5,oil,No,No,1
143,0.48,10,37800,2410,64,4,1,2.5,11,gas,No,No,2
144,0.29,14,31100,1933,64,3,1,2.5,6,gas,No,No,1
145,0.68,9,57200,3080,64,4,1,2.5,12,gas,No,No,2
146,4.08,13,75500,4534,64,6,2,2.5,12,oil,No,No,2
147,0.1,14,26000,1677,64,3,1,2.5,5,gas,No,No,1
148,0.62,7,57800,2900,64,4,1,2.5,11,gas,No,No,2
149,0.07,16,20300,1392,64,2,1,1.5,5,electric,No,No,1
150,0.16,15,22400,1058,64,2,1,1.5,7,gas,No,No,1
151,0.36,1,29200,2342,64,4,1,2.5,8,gas,No,Yes,2
152,0.01,0,37200,2206,64,4,1,2.5,10,gas,No,Yes,2
153,0.34,1,36200,1516,64,3,1,2,5,gas,No,Yes,1
154,0.75,12,82500,2836,64,4,1,2.5,10,gas,No,No,2
155,0.29,15,35200,1256,64,2,0,1.5,7,gas,No,No,1
156,0.47,6,20000,2340,64,4,1,3.5,10,gas,No,No,2
157,0.32,0,53900,2129,64,4,1,2.5,9,gas,No,Yes,2
158,0.12,15,16800,1343,64,2,1,2.5,4,gas,No,No,1
159,1,0,24300,2963,64,4,1,2.5,10,gas,No,Yes,2
160,0.46,13,36600,2114,64,4,1,3.5,8,gas,No,No,2
161,0.18,16,21400,1144,64,2,1,1,7,electric,No,No,1
162,0.55,33,14900,988,64,3,1,1,7,oil,No,No,1
163,0.46,9,45800,1475,64,3,0,2,4,gas,No,No,2
164,0.15,10,28500,1247,64,3,0,1.5,7,gas,No,No,1
165,0.93,48,23500,1912,64,5,1,2,10,gas,No,No,2
166,0.46,23,19700,1440,64,3,0,1.5,5,oil,No,No,1
167,0.26,16,30100,1596,64,3,1,2,6,gas,No,No,1
168,0.63,0,24400,2665,64,4,1,2.5,11,gas,No,Yes,2
169,0.5,35,28000,1984,64,3,0,1.5,8,gas,No,No,1
170,0.03,10,35800,1616,64,3,0,2,6,gas,No,No,2
171,0.17,9,40500,1917,64,3,1,2.5,5,gas,No,No,2
172,0.64,37,16400,2592,64,3,1,1.5,9,oil,No,No,1
173,0.47,6,25500,1845,64,3,1,2.5,9,gas,No,No,2
174,0.92,53,29000,1360,57,4,0,1,9,oil,No,No,1
175,0.41,35,26200,1664,64,3,1,1.5,6,gas,No,No,1
176,0.16,15,22400,1098,64,2,1,1.5,3,gas,No,No,1
177,0.01,17,9900,1214,64,2,0,1.5,4,electric,No,No,1
178,0.29,93,9200,1046,57,3,0,1,6,electric,No,No,1
179,0.36,103,32200,1144,64,3,0,1,8,oil,No,No,1
180,0.28,16,22000,1140,64,2,1,2,6,gas,No,No,1
181,0.15,14,21000,1232,64,2,1,1.5,5,gas,No,No,1
182,0.59,0,153800,3020,64,4,1,2.5,9,gas,No,Yes,2
183,0.36,19,27000,1508,52,3,1,2,6,gas,No,No,1
184,0.16,19,15700,912,52,2,1,1.5,5,electric,No,No,1
185,0.34,18,27000,1508,52,3,0,1.5,4,electric,No,No,1
186,0.33,17,27000,1561,52,3,1,1.5,6,gas,No,No,1
187,0.56,30,26400,2625,64,4,1,2.5,8,gas,No,No,1
188,0.48,30,19600,936,52,3,1,1,7,gas,No,No,1
189,0.16,19,15700,912,52,2,0,1.5,3,electric,No,No,1
190,0.17,16,15100,1492,52,3,0,2.5,8,electric,No,No,1
191,0.46,30,26300,1599,64,4,1,2.5,5,gas,No,No,1
192,0.81,25,25000,2304,52,5,1,2.5,9,electric,No,No,1
193,0.15,19,15700,912,52,2,0,1.5,7,electric,No,No,1
194,0.15,17,15100,1385,52,2,1,1.5,7,gas,No,No,1
195,0.32,17,27000,1561,52,4,0,1.5,8,electric,No,No,1
196,0.16,20,15700,884,52,2,0,2,3,gas,No,No,1
197,0.15,18,15700,912,52,2,0,2,4,electric,No,No,1
198,0.15,17,15700,912,52,2,0,1.5,3,gas,No,No,1
199,0.48,73,20500,1384,52,3,0,2,5,oil,No,No,1
200,0.77,7,30000,1334,52,3,0,1.5,4,gas,No,No,1
201,0.42,10,26200,1433,64,3,1,2,5,gas,No,No,1
202,0.17,16,15100,1492,52,3,1,2.5,6,electric,No,No,1
203,0.32,16,27000,1561,52,4,1,1.5,9,gas,No,No,1
204,0.09,11,32000,936,52,1,0,1,3,electric,Yes,No,2
205,0.16,16,15100,1492,52,3,1,2.5,8,electric,No,No,1
206,0.16,18,15100,1853,52,3,0,2.5,7,electric,No,No,1
207,0.15,15,15100,1240,52,2,0,1.5,7,electric,No,No,1
208,0.17,19,15800,912,52,2,0,1.5,6,electric,No,No,1
209,0.17,19,15800,912,52,2,0,1.5,3,gas,No,No,1
210,0.16,19,15700,912,52,2,0,1.5,6,gas,No,No,1
211,0.16,19,15100,1184,52,3,0,1.5,8,gas,No,No,1
212,0.34,18,27000,1638,52,3,1,2,6,electric,No,No,1
213,0.31,16,27000,1508,52,3,1,2,6,electric,No,No,1
214,0.4,50,18000,672,52,2,0,1,5,electric,No,No,1
215,0.34,18,79700,1346,52,3,1,2,6,oil,Yes,No,2
216,0.16,18,15100,1184,52,3,0,2,5,electric,No,No,1
217,0.15,16,15700,912,52,2,0,1.5,4,gas,No,No,1
218,0.15,18,15700,912,52,2,1,1.5,5,electric,No,No,1
219,0.16,19,15700,988,52,2,0,2,4,gas,No,No,1
220,0.16,19,15100,1184,52,3,0,2,6,gas,No,No,1
221,0.15,16,15100,1385,52,2,0,1.5,4,electric,No,No,1
222,0.15,18,15700,912,52,2,0,1.5,3,gas,No,No,1
223,0.37,18,27000,1548,52,3,1,2,5,gas,No,No,1
224,0.31,17,27000,1561,52,4,0,1.5,9,electric,No,No,1
225,1,24,21000,1008,52,2,0,1,3,gas,No,No,1
226,0.15,17,15200,1385,52,2,0,1.5,4,electric,No,No,1
227,0.16,19,15700,908,52,2,0,1,6,gas,No,No,1
228,0.24,138,1400,2246,39,4,0,1.5,9,oil,No,No,1
229,2.06,16,5900,1820,39,3,1,2.5,5,gas,No,No,1
230,0.42,0,13000,2554,64,4,1,2.5,9,gas,No,Yes,2
231,0.92,16,5500,824,45,3,0,1.5,5,electric,No,No,1
232,0.4,0,15000,2458,64,4,1,2.5,9,gas,No,No,2
233,0.36,22,10500,1324,64,3,0,1,4,electric,No,No,1
234,5.84,12,20000,2916,64,3,1,2.5,9,gas,No,No,2
235,0.16,19,15100,1032,52,2,0,1.5,4,electric,No,No,1
236,0.15,16,15700,912,52,2,1,1.5,4,electric,No,No,1
237,0.98,35,19600,1320,52,2,0,1,3,electric,No,No,1
238,0.33,17,27000,1508,52,3,1,1.5,8,gas,No,No,1
239,0.16,16,15700,912,52,2,1,1.5,7,electric,No,No,1
240,0.09,12,31200,2040,52,4,1,2.5,7,gas,No,No,2
241,0.16,17,15700,912,52,2,1,1.5,5,electric,No,No,1
242,3,10,53600,1776,52,2,0,2,6,oil,No,No,2
243,0.58,25,25000,1304,64,3,0,2,8,electric,No,No,1
244,0.42,10,26200,1836,64,4,1,2.5,8,gas,No,No,2
245,0.17,18,15800,912,52,2,0,2,3,electric,No,No,1
246,0.16,19,15700,912,52,2,0,1.5,6,electric,No,No,1
247,0.31,16,27000,1527,52,2,1,2,7,electric,No,No,1
248,0.99,17,5700,1454,39,3,0,1.5,7,electric,No,No,1
249,0.26,26,4600,1700,39,3,1,1.5,4,oil,No,No,1
250,0.45,27,7000,1680,45,4,0,1,9,electric,No,No,1
251,0.49,0,13000,2401,64,4,1,2.5,10,gas,No,No,1
252,0.35,21,11000,1176,64,3,0,1,7,electric,No,No,1
253,0.4,24,9800,1344,64,3,1,1.5,7,electric,No,No,1
254,0.48,23,10400,1344,64,3,0,1.5,8,electric,No,No,1
255,0.35,9,13000,1714,64,3,0,2.5,8,gas,No,No,1
256,0.25,20,29000,1992,64,4,1,3,9,gas,No,No,2
257,0.12,19,18200,924,64,2,0,1,7,gas,No,No,1
258,0.09,24,17600,1290,64,2,1,1.5,3,gas,No,No,1
259,0.46,36,27400,2521,64,4,1,2.5,10,gas,No,No,1
260,0.71,58,22700,1377,82,3,1,1.5,7,oil,No,No,1
261,0.06,19,16400,1237,64,2,1,1.5,6,gas,No,No,1
262,0.61,41,32300,2310,64,4,1,2.5,7,gas,No,No,1
263,0.32,0,35000,1863,64,3,1,2.5,9,gas,No,No,1
264,0.37,26,37500,1693,64,3,1,1.5,8,gas,No,No,1
265,0.29,26,31400,1684,64,3,1,2.5,4,gas,No,No,1
266,0.95,16,40900,1585,64,3,1,1.5,4,electric,No,No,1
267,0.67,8,72400,2290,64,4,1,3,9,gas,No,No,2
268,0.4,32,30000,2464,64,5,1,2.5,9,gas,No,No,1
269,0.29,5,29000,2549,64,4,1,2.5,12,gas,No,No,2
270,0.35,6,36500,2316,64,4,1,2.5,7,gas,No,No,2
271,0.37,18,43000,2600,64,4,1,2.5,8,gas,No,No,2
272,0.53,15,65800,2677,64,4,1,2.5,10,gas,No,No,2
273,0.06,19,16400,1479,64,3,0,1.5,4,electric,No,No,1
274,0.15,16,18500,1138,64,2,0,1,7,electric,No,No,1
275,0.27,24,18900,1576,64,3,0,2.5,4,gas,No,No,1
276,0.43,10,52200,2084,82,4,1,2.5,9,gas,No,No,2
277,0.06,26,35900,1726,64,3,1,2,8,gas,No,No,2
278,1,2,49900,1851,71,2,2,2,4,gas,No,No,2
279,0.46,30,27400,2310,64,5,1,2.5,12,gas,No,No,1
280,0.03,0,56800,2930,64,4,1,2.5,12,gas,No,No,2
281,0.88,33,35900,2576,64,4,1,2.5,10,gas,No,No,1
282,0.55,36,30500,1664,64,3,1,2,8,gas,No,No,1
283,1,24,46000,1237,64,2,0,1.5,3,electric,No,No,1
284,0.43,29,31400,2662,64,5,1,2.5,9,gas,No,No,1
285,0.45,35,32300,1575,64,3,1,1.5,7,gas,No,No,1
286,0.1,12,18000,1566,64,2,0,1.5,7,gas,No,No,1
287,0.09,16,17600,1326,64,2,1,1.5,4,gas,No,No,1
288,0.09,18,17600,1480,64,3,0,1.5,8,gas,No,No,1
289,0.59,0,38400,2161,64,4,1,2.5,11,gas,No,No,1
290,0.16,10,18600,1352,64,2,1,1.5,3,gas,No,No,1
291,0.51,33,34600,1648,64,3,0,1.5,8,gas,No,No,1
292,0.46,25,60500,2936,64,3,1,3.5,12,gas,No,No,2
293,0.46,1,36400,2404,64,4,1,2.5,10,gas,No,No,2
294,0.42,36,30900,1738,64,3,0,1.5,9,gas,No,No,1
295,0.45,14,119500,5228,64,4,4,4,12,gas,No,No,2
296,0.55,34,30500,2576,64,4,1,2.5,12,gas,No,No,1
297,0.44,34,31800,1586,64,3,1,1.5,7,gas,No,No,1
298,0.06,19,16400,1480,64,3,0,1.5,5,electric,No,No,1
299,0.5,15,37000,1917,64,4,1,2.5,7,gas,No,No,2
300,0.3,30,24500,1938,64,3,1,1.5,9,gas,No,No,1
301,0.33,3,11600,2110,64,4,1,2.5,8,gas,No,No,2
302,0.14,19,18400,1479,64,3,0,1.5,5,gas,No,No,1
303,0.69,34,34700,2576,64,5,1,2.5,9,gas,No,No,1
304,0.38,18,60800,2445,82,4,2,2.5,9,gas,No,No,2
305,0.74,14,73800,2185,64,3,1,2.5,7,gas,No,No,2
306,0.38,18,82800,2078,64,4,1,2.5,8,electric,No,No,2
307,0.38,37,29100,1674,64,3,1,1.5,5,gas,No,No,1
308,0.29,19,20300,1228,64,4,0,1.5,9,electric,No,No,1
309,0.28,22,19500,1375,64,2,1,1.5,7,electric,No,No,1
310,0.54,16,30200,1650,64,3,1,2,5,gas,No,No,2
311,0.26,31,21900,1718,64,3,1,1.5,9,gas,No,No,1
312,0.59,33,31700,2576,64,4,1,2.5,9,gas,No,No,2
313,0.37,4,37500,2280,64,4,1,2.5,7,gas,No,No,2
314,0.4,18,25000,2088,64,4,1,2.5,10,gas,No,No,1
315,0.5,15,37000,1917,64,4,1,2.5,9,gas,No,No,2
316,0.54,29,30200,3140,64,5,1,3.5,10,gas,No,No,2
317,0.22,73,6900,1029,82,3,0,1,4,gas,No,No,1
318,0.35,36,39800,1896,64,4,1,2.5,7,gas,No,No,1
319,0.52,38,29600,2310,64,5,1,2.5,9,gas,No,No,2
320,0.31,17,19600,924,64,2,1,1,6,electric,No,No,1
321,0.38,25,38000,2080,64,3,1,2.5,9,gas,No,No,1
322,0.08,22,17200,1237,64,3,1,1.5,4,electric,No,No,1
323,0.1,29,18000,1287,64,3,0,1.5,5,gas,No,No,1
324,0.44,18,33200,1847,64,3,1,2.5,7,gas,No,No,1
325,0.26,49,41900,1064,64,3,0,1,8,gas,No,No,1
326,0.07,18,16800,1480,64,3,1,1.5,4,gas,No,No,1
327,0.48,23,48500,2462,64,5,2,3.5,8,gas,No,No,2
328,0.41,17,25400,2228,64,3,1,2.5,7,gas,No,No,1
329,0.42,61,14700,1260,82,3,0,1,8,gas,No,No,1
330,0.45,30,30000,1559,64,4,1,2.5,5,gas,No,No,1
331,0.6,25,71000,1980,64,4,1,2.5,10,gas,No,No,2
332,0.95,9,78000,2380,82,3,1,2.5,6,gas,No,No,2
333,0.56,27,30800,1887,64,4,1,2.5,8,gas,No,No,1
334,1.25,133,43500,2185,64,4,1,1.5,11,gas,No,No,2
335,0.7,15,69400,2488,64,4,1,2.5,7,electric,No,No,2
336,0.67,56,21100,1152,64,1,0,2,3,gas,No,No,1
337,0.66,15,32100,2025,64,4,1,2.5,9,gas,No,No,1
338,0.62,37,32600,2521,64,5,1,2.5,12,gas,No,No,2
339,0.08,18,17200,1480,64,3,0,1.5,4,gas,No,No,1
340,0.08,17,17200,1480,64,3,1,1.5,5,gas,No,No,1
341,0.51,7,39100,2362,64,4,1,2.5,8,gas,No,No,2
342,0.28,31,23200,1910,64,3,1,1.5,7,gas,No,No,1
343,1,12,32000,1952,71,3,2,2,9,oil,No,No,1
344,0.58,9,86400,3358,64,4,1,3.5,12,gas,No,No,2
