,lotSize,age,landValue,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms,fuel,waterfront,newConstruction,PriceCat
345,0.43,26,39000,2090,64,4,1,2.5,7,gas,No,No,2
346,0.55,35,33000,1965,64,5,1,2,11,gas,No,No,1
347,0.49,33,34100,2110,64,4,1,1.5,9,gas,No,No,1
348,0.39,43,29600,1456,64,4,0,2.5,9,gas,No,No,1
349,0.06,18,16400,1479,64,3,0,1.5,7,gas,No,No,1
350,0.46,29,27400,1874,64,4,1,2.5,7,gas,No,No,1
351,0.5,0,17500,2099,64,4,1,2.5,8,gas,No,No,2
352,0.6,33,32000,1872,64,3,1,2.5,8,gas,No,No,1
353,0.41,17,44300,2388,64,4,1,2.5,11,electric,No,No,2
354,0.53,18,65800,2812,64,4,1,2.5,12,gas,No,No,2
355,0.21,11,19100,1064,64,2,1,2,4,gas,No,No,1
356,0.06,20,16400,1375,64,2,0,1.5,7,gas,No,No,1
357,0.09,19,17600,1480,64,3,0,1.5,5,electric,No,No,1
358,0.13,25,18300,1260,64,2,1,1.5,5,gas,No,No,1
359,0.72,15,40300,2086,64,3,1,2.5,5,gas,No,No,2
360,1,9,43900,2588,64,4,1,2.5,12,oil,No,No,2
361,0.18,18,18800,1480,64,3,0,1.5,4,electric,No,No,1
362,0.74,10,35700,1752,64,3,1,2.5,7,gas,No,No,2
363,0.48,32,28200,2660,64,4,1,2.5,11,gas,No,No,1
364,0.58,20,69500,2417,64,3,1,2.5,9,gas,No,No,2
365,0.01,21,79100,2793,64,3,1,2.5,7,gas,No,No,2
366,1,78,21200,1152,64,2,0,1,6,oil,No,No,1
367,0.41,29,25400,2344,64,4,1,2.5,9,gas,No,No,1
368,0.51,33,34600,1926,64,4,1,1.5,6,gas,No,No,1
369,0.55,35,34800,2208,64,4,1,2.5,9,gas,No,No,1
370,0.46,16,60500,2208,64,3,1,2.5,7,gas,No,No,2
371,0.6,35,32000,2708,64,5,2,2.5,12,gas,No,No,2
372,0.19,18,18900,1142,64,3,0,1.5,6,gas,No,No,1
373,1.42,32,48300,2529,64,3,1,2,7,gas,No,No,1
374,0.69,20,35500,1797,64,4,0,2,9,electric,No,No,2
375,0.51,31,34600,1611,64,3,1,1.5,4,gas,No,No,1
376,0.29,13,31400,2576,64,4,1,2.5,10,gas,No,No,2
377,0.06,10,79600,2653,82,4,0,2.5,10,gas,No,No,2
378,0.6,13,88000,3896,64,5,2,4.5,12,gas,No,No,2
379,0.53,16,37500,1585,64,3,1,1,6,gas,No,No,2
380,0.38,10,38000,2774,64,4,1,2.5,8,gas,No,No,2
381,0.74,54,28300,1283,64,2,1,1,3,gas,No,No,1
382,0.56,29,34800,1136,64,3,0,1,6,oil,No,No,1
383,0.71,32,35100,1896,64,4,1,2.5,6,gas,No,No,1
384,2.84,55,60200,1536,64,2,1,1,7,gas,No,No,1
385,0.09,19,17600,1480,64,3,1,1.5,5,electric,No,No,1
386,0.52,14,37300,2096,64,4,1,2.5,8,gas,No,No,2
387,1,8,40200,2324,64,4,0,2.5,7,gas,No,No,2
388,0.5,29,29000,2079,64,4,1,2.5,7,gas,No,No,1
389,0.43,33,31400,1911,64,4,1,1.5,10,gas,No,No,1
390,0.09,18,17600,1480,64,3,1,1.5,7,gas,No,No,1
391,0.11,25,32900,2208,64,4,1,2.5,10,gas,No,No,2
392,0.24,9,28000,1462,64,3,0,2.5,7,gas,No,No,1
393,0.39,38,29600,1794,64,4,1,1.5,10,gas,No,No,1
394,0.8,38,35500,1886,64,4,1,2.5,9,gas,No,No,1
395,0.19,19,13300,1080,64,3,0,1.5,7,electric,No,No,1
396,0.59,34,31700,2576,64,5,1,3,11,gas,No,No,2
397,0.48,26,31200,1508,64,4,1,1.5,5,gas,No,No,1
398,0.46,35,32700,1672,64,4,1,1,5,gas,No,No,1
399,0.4,35,30000,1739,64,4,1,1.5,9,gas,No,No,1
400,0.52,40,29600,3074,64,7,1,2.5,12,gas,No,No,2
401,0.86,3,35600,1976,64,3,1,2.5,8,gas,No,No,2
402,0.46,37,27400,2302,64,4,1,2.5,8,gas,No,No,1
403,0.95,13,9500,1480,51,3,1,2,4,gas,No,No,1
404,0.63,11,17900,960,54,2,0,2,5,gas,No,No,1
405,0.42,16,17400,1582,36,3,0,1.5,8,electric,No,No,1
406,0.34,154,11900,1600,54,4,0,1,7,oil,No,No,1
407,0.5,5,4000,2320,54,4,0,2.5,9,gas,No,No,2
408,0.2,14,7200,1034,54,2,0,1.5,5,gas,No,No,1
409,2.96,19,11000,1488,57,3,0,1.5,8,electric,No,No,2
410,1,17,3500,1056,57,3,0,1,8,electric,No,No,1
411,1,128,16200,864,57,3,0,1,6,oil,No,No,1
412,1,19,17600,1552,57,3,1,2,4,electric,No,No,1
413,0.52,11,18200,1816,57,3,1,1.5,6,gas,No,No,2
414,0.48,20,12500,1530,57,3,1,2,6,gas,No,No,1
415,0.33,14,11900,1756,54,4,0,2,8,gas,No,No,1
416,1,25,25000,4211,57,5,2,3.5,12,gas,No,No,2
417,2.6,10,20200,2206,57,3,1,2.5,7,oil,No,No,1
418,0.15,64,36000,1092,36,2,0,1,6,oil,Yes,No,1
419,2.8,114,28300,1594,36,7,0,1,10,oil,No,No,1
420,0.08,15,2100,1480,54,3,1,2.5,8,gas,No,No,1
421,0.14,15,3200,1480,54,3,1,1.5,4,gas,No,No,1
422,0.46,88,19700,3003,57,4,1,3.5,12,gas,No,No,2
423,0.63,54,9500,2164,57,2,0,1.5,7,oil,No,No,2
424,3.8,19,14400,1519,57,2,0,1,3,oil,No,No,2
425,0.46,15,15700,1604,57,3,1,2.5,4,oil,No,No,1
426,0.98,25,15900,1400,57,3,1,2,5,electric,No,No,2
427,1,12,20300,1752,57,4,0,1,7,gas,No,No,2
428,1,32,20300,880,57,2,0,1.5,6,electric,No,No,1
429,6.07,14,25700,1240,57,3,0,2,5,oil,No,No,2
430,0.03,17,18800,1514,36,3,1,1.5,8,gas,No,No,1
431,0.18,2,15000,840,36,1,0,1,6,gas,No,No,1
432,0.11,1,15000,840,36,2,0,1,3,gas,No,No,1
433,0.28,124,7400,2592,36,4,0,1.5,12,gas,No,No,1
434,0.18,121,7300,1010,36,3,0,1,7,gas,No,No,1
435,0.16,2,15000,1380,36,3,0,1.5,6,gas,No,No,1
436,0.15,3,15000,1366,36,3,0,1.5,8,gas,No,No,1
437,0.5,5,40200,1681,57,3,1,2.5,4,gas,Yes,No,2
438,3.68,14,27200,2037,36,3,1,2,9,oil,No,No,2
439,0.98,16,11200,2570,36,3,0,1.5,10,oil,No,No,1
440,0.52,59,8000,936,20,2,0,1,4,oil,No,No,1
441,0.01,13,1200,960,41,2,0,1.5,7,gas,No,No,1
442,0.91,11,3200,1352,30,3,1,1.5,5,oil,No,No,1
443,0.34,118,6200,1060,41,4,0,1,8,gas,No,No,1
444,2.06,6,40100,1508,30,3,0,2,5,oil,No,No,1
445,0.35,54,19600,1272,60,4,1,1.5,9,oil,No,No,1
446,0.47,18,18800,2389,27,6,0,3,11,oil,No,No,1
447,0.7,17,28800,1210,60,2,1,1,4,gas,No,No,1
448,0.39,52,21800,1230,60,3,1,1,6,oil,No,No,1
449,0.52,47,28100,1832,60,4,1,2,8,oil,No,No,1
450,1.27,27,34200,1854,60,3,1,1.5,8,oil,No,No,2
451,2,164,40000,2268,60,3,0,2.5,10,oil,No,No,2
452,0.68,29,28700,1807,60,3,1,1.5,8,oil,No,No,2
453,0.38,48,21300,1272,60,4,1,1.5,5,gas,No,No,1
454,0.28,12,4800,1560,47,3,1,1,8,gas,No,No,1
455,0.07,15,200,1863,47,3,1,3.5,7,gas,No,No,2
456,0.24,64,1400,1120,47,2,0,1,3,oil,Yes,No,1
457,0.26,15,700,1832,47,2,1,2.5,8,gas,No,No,2
458,3.64,0,7400,2092,47,4,1,2.5,8,oil,No,No,2
459,0.41,13,3100,2702,47,3,1,2.5,11,oil,No,No,2
460,0.46,32,5800,1040,47,3,1,1.5,5,oil,No,No,1
461,0.15,13,400,1758,47,2,1,2.5,6,gas,No,No,2
462,0.16,116,6800,2326,27,3,0,2,7,oil,No,No,1
463,1,13,13700,2340,27,3,0,1.5,8,electric,No,No,1
464,2.61,1,15700,2058,27,3,1,2.5,9,oil,No,No,2
465,1,33,21700,944,27,1,1,1,4,oil,Yes,No,2
466,0.19,44,9100,640,20,2,0,1,6,electric,No,No,1
467,0.83,6,14700,2353,60,4,1,2.5,8,gas,No,No,2
468,1,7,17800,2038,54,4,1,2.5,7,gas,No,No,2
469,0.42,32,18500,1469,60,4,0,1.5,9,gas,No,No,1
470,0.87,10,41100,2219,63,3,1,2,10,gas,No,No,2
471,0.68,16,19900,1774,54,4,0,2,7,gas,No,No,1
472,0.38,51,14600,1296,60,4,1,2,9,oil,No,No,1
473,1.1,124,20100,2289,60,4,1,1.5,9,oil,No,No,2
474,0.8,134,18100,2463,60,5,2,2.5,12,gas,No,No,2
475,0.95,2,49200,3126,54,4,0,2.5,12,oil,No,No,2
476,4.1,15,26600,2550,54,3,0,2.5,7,oil,No,No,2
477,0.34,49,13100,1182,60,2,0,1,6,oil,No,No,1
478,0.09,48,15800,1890,60,4,1,2,7,oil,No,No,1
479,1,12,500,1944,36,3,1,2.5,7,oil,No,No,2
480,0.57,6,15000,2815,57,4,1,2.5,10,gas,No,No,2
481,1,11,34900,1040,57,3,1,2,7,electric,No,No,1
482,0.48,25,14400,1638,57,4,0,2,5,oil,No,No,1
483,0.14,13,21100,2206,57,4,1,2.5,9,gas,No,No,2
484,0.19,0,74800,3170,57,4,1,3.5,12,gas,No,Yes,2
485,0.5,0,74800,2328,57,4,1,2.5,10,gas,No,Yes,2
486,0.35,0,74800,2737,57,4,1,3,8,gas,No,Yes,2
487,0.21,0,32000,2879,54,4,0,3,8,gas,No,Yes,2
488,3.47,1,20300,2158,54,3,1,2,10,gas,No,Yes,2
489,0.55,11,19300,1336,57,3,1,2,7,gas,No,No,1
490,0.53,4,4200,1594,54,3,0,2.5,6,gas,No,No,1
491,0.54,11,18900,1603,57,3,0,1.5,4,gas,No,No,1
492,0.54,11,18900,2190,57,4,0,2.5,11,gas,No,No,2
493,0.32,10,10700,1478,54,3,1,2.5,5,gas,No,No,1
494,0.25,10,8400,1348,54,2,0,2,7,gas,No,No,1
495,0.32,36,8000,1558,54,3,1,1,6,gas,No,No,1
496,0.5,13,18300,1574,54,3,1,1.5,7,gas,No,No,1
497,0.04,13,16500,1612,54,4,0,2,7,gas,No,No,1
498,0.21,129,7300,1216,54,3,0,1,7,gas,No,No,1
499,0.17,124,6000,2256,54,4,0,1.5,8,gas,No,No,1
500,0.51,28,15000,1170,54,3,1,1.5,4,oil,No,No,1
501,0.17,29,4600,1456,57,3,0,2,6,oil,No,No,1
502,0.11,29,3900,1320,57,3,0,3,5,electric,No,No,1
503,0.14,14,20700,2076,57,4,1,2.5,10,gas,No,No,2
504,1,22,16800,1326,57,3,0,2,5,electric,No,No,1
505,0.18,20,20900,2240,57,4,1,2.5,10,electric,No,No,2
506,1.29,19,21600,2100,57,4,1,3,7,gas,No,No,2
507,1,27,8300,1129,38,2,0,1,7,oil,No,No,1
508,0.6,19,16000,2296,57,4,1,2.5,7,gas,No,No,1
509,0.46,20,13800,1475,57,3,1,2,8,gas,No,No,1
510,1.03,20,20100,1268,57,3,1,1,6,gas,No,No,1
511,0.47,15,14100,1816,57,3,1,2,7,gas,No,No,1
512,0.5,30,15000,1632,57,4,1,2.5,8,gas,No,No,1
513,0.26,11,8700,1254,54,2,0,1.5,5,gas,No,No,1
514,0.49,30,64400,1272,57,3,0,1,4,gas,No,No,1
515,0.28,29,80800,1604,57,4,0,1.5,6,gas,No,No,1
516,0.52,0,77000,2474,57,4,1,2.5,11,gas,No,No,2
517,0.15,0,36000,2057,57,3,1,2.5,9,gas,No,No,1
518,0.05,6,32000,1852,57,3,0,2.5,8,electric,No,No,1
519,0.09,1,51400,2242,57,3,0,3,8,gas,No,No,2
520,0.49,32,64400,1564,57,4,1,1.5,9,gas,No,No,1
521,0.19,24,39200,960,57,3,0,1,6,electric,No,No,1
522,0.1,63,85000,1680,57,2,0,2.5,7,gas,No,No,1
523,0.03,3,27000,1428,57,2,1,2.5,6,gas,No,No,1
524,0.16,0,36800,1672,57,3,0,2.5,7,gas,No,No,1
525,0.28,29,80800,2284,57,3,1,1.5,6,gas,No,No,2
526,0.32,31,54200,1286,57,3,1,1,4,gas,No,No,1
527,0.23,53,73000,1250,57,3,0,1,4,gas,No,No,1
528,0.12,113,51300,1896,57,4,0,1.5,8,oil,No,No,2
529,0.15,1,61000,2592,57,3,0,3,10,gas,No,No,2
530,0.01,0,12500,1904,57,2,1,2,8,gas,No,No,2
531,0.29,3,46400,1680,57,3,0,2,6,gas,No,No,2
532,0.16,38,54900,1152,57,2,1,1,7,gas,No,No,1
533,0.07,16,46600,1290,57,3,1,1.5,5,electric,No,No,1
534,0.17,93,55800,2396,57,4,1,1.5,11,gas,No,No,2
535,0.24,55,255000,3090,57,4,2,4,12,gas,No,No,2
536,0.21,142,107000,1428,57,3,0,1,8,oil,No,No,2
537,0.15,0,114000,1631,57,3,1,2.5,4,gas,No,No,2
538,0.24,33,49100,1368,57,3,0,1,7,gas,No,No,1
539,0.16,36,54900,1134,57,3,0,1,4,gas,No,No,1
540,0.3,27,84600,1697,57,3,1,1.5,6,gas,No,No,1
541,0.3,6,47000,1666,57,3,1,2.5,4,gas,No,No,1
542,0.12,78,89000,1738,57,4,1,2.5,6,oil,No,No,2
543,0.15,103,210000,1457,57,2,0,1.5,7,gas,No,No,2
544,0.15,0,54000,1632,57,3,1,2.5,7,gas,No,No,2
545,1.4,12,128500,2186,57,3,0,2.5,6,gas,No,No,2
546,0.15,0,95000,2117,57,3,1,2.5,6,electric,No,No,2
547,0.25,32,50000,936,57,3,1,1,8,gas,No,No,1
548,0.17,169,220000,3347,57,6,2,2.5,12,gas,No,No,2
549,0.36,32,50600,1824,57,4,1,2.5,10,gas,No,No,1
550,0.16,1,62600,2592,57,3,0,3,8,gas,No,No,2
551,0.68,64,84200,1080,57,2,0,1,7,oil,No,No,1
552,1.22,2,194700,3148,57,5,0,3.5,12,gas,No,No,2
553,0.25,150,115000,2128,57,3,1,1.5,8,gas,No,No,2
554,0.06,18,28800,1616,57,3,0,1.5,8,gas,No,No,1
555,0.23,5,73800,3313,57,4,1,2.5,12,gas,No,No,2
556,0.48,25,57800,2327,57,3,1,1.5,10,gas,No,No,2
557,0.24,32,49100,1640,57,4,1,1.5,7,gas,No,No,1
558,0.12,73,89000,1421,57,3,0,1.5,5,gas,No,No,2
559,0.15,103,54000,1280,57,2,1,1,3,gas,No,No,1
560,0.34,3,82400,3467,57,4,1,2.5,11,gas,No,No,2
561,0.11,83,87000,1250,57,3,0,1.5,5,gas,No,No,1
562,0.25,33,50000,1368,57,3,0,1,5,gas,No,No,1
563,0.13,1,110200,1396,57,3,0,2.5,8,gas,No,No,2
564,0.04,15,36000,2004,57,3,1,2.5,8,gas,No,No,2
565,0.12,1,56200,2242,57,3,0,3,6,gas,No,No,2
566,0.39,0,85400,2786,57,4,1,2.5,8,gas,No,No,2
567,0.07,0,48200,2242,57,3,0,2.5,6,gas,No,No,2
568,0.34,33,55400,1404,57,3,0,1,6,gas,No,No,1
569,1,25,98500,1600,57,3,1,1.5,7,gas,No,No,1
570,0.04,103,36000,1408,57,2,0,1,3,gas,No,No,1
571,0.21,37,59400,972,57,3,0,1,8,gas,No,No,1
572,1.06,14,125100,4856,57,5,2,4,12,oil,No,No,2
573,0.25,0,63000,2885,57,3,1,2.5,11,gas,No,No,2
574,0.09,82,83000,1560,57,2,0,1,6,gas,No,No,2
575,0.26,33,50600,1472,57,3,0,1,8,gas,No,No,1
576,0.14,0,35200,2124,57,3,1,2.5,10,gas,No,No,1
577,0.15,1,114000,2162,57,3,1,2.5,7,gas,No,No,2
578,0.46,0,89600,2515,57,4,1,2.5,8,gas,No,No,2
579,0.63,0,98500,2294,57,4,1,2.5,11,gas,No,No,2
580,0.26,123,63300,1744,57,4,0,1,6,gas,No,No,1
581,0.48,0,90800,2022,57,3,1,2.5,8,gas,No,No,2
582,0.22,34,72000,1578,57,3,0,2,8,gas,No,No,2
583,0.91,0,239300,3400,57,3,0,3,12,gas,Yes,No,2
584,0.07,13,48200,1744,57,3,1,2.5,6,gas,No,No,2
585,0.46,0,89600,2560,57,3,1,2.5,9,gas,No,No,2
586,0.12,51,89000,1398,57,3,0,2.5,4,gas,No,No,2
587,0.16,0,62600,2494,57,3,0,2.5,8,gas,No,No,2
588,0.48,27,57800,2208,57,4,2,2.5,11,gas,No,No,2
589,0.46,0,89600,2550,57,3,1,2.5,7,gas,No,No,2
590,0.03,16,27000,1812,57,2,1,2.5,7,gas,No,No,2
591,0.12,50,89000,1290,57,2,0,1,3,gas,No,No,1
592,0.14,16,52200,1172,57,2,0,2,3,gas,No,No,1
593,1.04,10,192900,4128,57,3,2,3.5,12,gas,No,No,2
594,0.49,17,64400,1816,57,3,1,2.5,5,electric,No,No,1
595,0.65,4,99500,2628,57,4,1,2.5,8,gas,No,No,2
596,0.15,0,36000,1254,57,3,1,2.5,4,gas,No,No,1
597,0.15,113,54000,1660,57,4,1,1.5,9,gas,No,No,1
598,0.5,43,73500,1850,57,3,1,1.5,7,gas,No,No,1
599,0.14,0,35200,1258,57,3,0,2,8,gas,No,No,1
600,0.23,0,42400,1219,57,3,0,2,5,gas,No,No,1
601,0.14,14,59400,1850,57,3,1,2.5,6,gas,No,No,2
602,0.29,9,52400,2103,57,3,0,2.5,7,gas,No,No,2
603,0.23,3,73800,1806,57,3,1,2.5,8,gas,No,No,2
604,0.23,52,250000,1674,57,2,1,1.5,4,gas,No,No,2
605,0.08,0,49800,2242,57,3,0,2.5,10,gas,No,No,2
606,0.03,103,27000,1408,57,3,0,1.5,4,gas,No,No,1
607,1,20,124800,3457,57,3,2,2.5,12,electric,No,No,2
608,0.16,28,50400,1728,57,3,0,1.5,6,gas,No,No,1
609,1,16,125900,2354,57,3,2,2.5,6,electric,No,No,2
610,0.42,4,87200,2246,57,3,1,2.5,9,gas,No,No,2
611,0.18,0,119700,1902,57,2,1,2.5,4,gas,No,No,2
612,0.3,30,53000,1178,57,3,0,1,7,gas,No,No,1
613,0.73,0,103500,2896,57,4,1,3.5,11,gas,No,No,2
614,1.03,24,124800,2457,57,3,1,3,9,gas,No,No,2
615,0.25,32,50000,936,57,3,0,1,8,gas,No,No,1
616,0.19,123,103000,934,57,2,0,1,7,gas,No,No,1
617,0.29,30,52400,1279,57,3,1,1,6,gas,No,No,1
618,0.39,6,69400,1888,57,3,0,2,5,gas,No,No,1
619,0.27,33,63700,1686,57,4,1,1.5,7,gas,No,No,1
620,0.25,22,61000,2310,57,2,1,3,7,gas,No,No,2
621,0.32,1,48200,1200,57,3,0,1.5,4,gas,No,No,1
622,0.27,50,78800,1944,57,3,1,2.5,7,gas,No,No,2
623,0.36,51,50600,1184,57,3,0,1,5,electric,No,No,1
624,0.36,3,83600,2000,57,3,1,2.5,5,gas,No,No,2
625,0.07,14,48200,1744,57,3,1,2.5,9,gas,No,No,2
626,0.12,3,108300,1620,57,3,1,2.5,7,gas,No,No,2
627,0.35,1,67000,2359,57,4,0,2.5,11,gas,No,No,2
628,0.62,1,98000,2230,57,3,0,2.5,10,gas,No,No,2
629,0.07,94,46800,1147,57,2,0,1.5,3,gas,No,No,1
630,0.27,2,78200,2205,57,3,1,2.5,10,gas,No,No,2
631,0.42,4,87200,3243,57,4,0,2.5,11,gas,No,No,2
632,0.48,34,57800,1431,57,3,0,1.5,5,gas,No,No,1
633,0.36,35,56600,936,57,3,0,1,7,gas,No,No,1
634,0.3,33,53000,1368,57,3,0,1.5,7,gas,No,No,1
635,0.07,16,48200,1800,57,3,1,2.5,8,electric,No,No,2
636,0.17,16,49500,1920,57,3,1,1.5,9,gas,No,No,1
637,0.11,83,87000,1416,57,3,0,2,7,gas,No,No,2
638,0.14,77,93000,616,57,2,0,1,5,gas,No,No,1
639,0.1,79,85000,1488,57,4,0,1.5,5,gas,No,No,2
640,0.11,84,87000,1320,57,3,1,1.5,6,oil,No,No,2
641,0.06,18,45800,1250,57,2,0,1.5,5,gas,No,No,1
642,0.32,32,54200,1286,57,3,1,1,6,gas,No,No,1
643,0.38,0,84800,2886,57,4,1,2.5,10,gas,No,No,2
644,0.42,36,60200,1279,57,3,1,1,4,gas,No,No,1
645,0.2,104,56700,1074,57,3,0,1,7,gas,No,No,1
646,0.58,52,78300,1304,57,3,1,1,4,gas,No,No,2
647,0.04,17,36000,3191,57,3,2,3.5,12,gas,No,No,2
648,0.3,44,64700,1056,57,3,0,1,5,gas,No,No,1
649,0.03,18,19200,1468,57,3,1,2.5,4,gas,No,No,1
650,0.08,115,81000,1598,57,3,0,1.5,6,gas,No,No,2
651,0.14,84,93000,1160,57,3,0,1.5,4,gas,No,No,2
652,0.12,104,89000,1028,57,2,0,1,5,gas,No,No,2
653,0.2,104,105000,2014,57,6,0,1,11,gas,No,No,2
654,0.48,34,63800,1296,57,3,0,1,7,gas,No,No,1
655,0.27,56,62500,932,57,2,0,1,3,gas,No,No,1
656,0.06,15,45800,1290,57,3,1,1.5,5,gas,No,No,1
657,0.17,19,37600,1448,57,2,0,1.5,5,gas,No,No,1
658,0.24,29,49100,1368,57,3,0,1,5,gas,No,No,1
659,0.87,25,90800,3046,57,4,1,1.5,11,gas,No,No,2
660,0.23,32,48200,1272,57,3,0,1.5,8,gas,No,No,1
661,0.59,18,69500,1822,57,4,0,2.5,6,gas,No,No,2
662,0.41,31,105700,1579,57,4,0,1.5,6,gas,No,No,2
663,0.29,32,52400,1660,57,4,1,1.5,7,gas,No,No,1
664,0.32,36,144900,2452,57,3,1,2.5,10,oil,No,No,2
665,0.14,94,50200,2004,57,3,0,2,9,gas,No,No,2
666,1.07,0,193200,4210,57,4,1,3.5,12,gas,No,No,2
667,0.33,32,54800,1640,57,4,0,1.5,9,gas,No,No,1
668,0.17,144,99000,2847,57,3,1,1.5,7,gas,No,No,2
669,0.5,18,65000,1816,57,3,1,2,7,gas,No,No,2
670,0.87,19,93300,2028,57,4,0,2,10,oil,No,No,1
671,0.22,40,54500,775,57,2,0,1,7,gas,No,No,1
672,0.33,34,54800,1368,57,2,0,1,6,gas,No,No,1
673,0.24,34,49100,936,57,3,0,1.5,8,gas,No,No,1
674,0.15,1,114000,1680,57,2,1,2.5,4,gas,No,No,2
675,0.3,33,53000,1368,57,3,0,1,6,gas,No,No,1
676,0.4,34,53000,1326,57,3,1,1.5,7,gas,No,No,1
677,0.21,62,107000,1579,57,3,1,2,4,oil,No,No,2
678,0.25,32,50000,1286,57,3,0,1,8,gas,No,No,1
679,0.84,25,207700,2132,57,3,2,2.5,7,gas,No,No,2
680,0.39,3,85400,2000,57,3,1,2.5,6,gas,No,No,2
681,0.14,3,112100,2222,57,3,0,2.5,6,gas,No,No,2
682,0.41,99,139000,2641,57,4,0,2,9,gas,No,No,2
683,0,5,412600,2472,57,3,1,2.5,9,gas,Yes,No,2
684,0.07,16,48200,1926,57,2,2,3,6,electric,No,No,2
685,0.12,4,108300,1534,57,3,0,2.5,8,gas,No,No,2
686,0.25,39,44000,1490,57,3,0,1.5,4,gas,No,No,2
687,0.22,46,72000,1126,57,3,1,2,8,gas,No,No,2
688,0.23,33,61200,1435,57,3,0,1.5,8,gas,No,No,2
689,0.42,44,60200,1136,57,3,0,1.5,8,gas,No,No,1
690,0.15,2,114000,2162,57,3,1,2.5,9,gas,No,No,2
691,0.34,5,82400,2328,57,3,1,2.5,7,gas,No,No,2
692,0.43,2,87800,2754,57,3,1,2.5,10,gas,No,No,2
